बचाओ!	Help!
बैठिए।	Please sit.
बैठिए।	Please sit down.
बैठिए।	Sit down, please.
नमस्ते।	Hello!
सोच लो।	Think about it.
नमस्कार।	Hello!
चले जाओ!	Go away!
हिलो मत।	Don't move.
बदतमीज़!	How rude of you!
स्वागतम्।	Welcome.
मौज करना।	Have fun.
मज़े करो।	Have fun.
चलो चलें!	Let's go!
मैं हँसा।	I laughed.
कौन जाने?	Who knows?
मज़े करो।	Have a good time.
मज़े करो।	Have a nice time.
मज़े करना।	Have fun.
और एक बार।	Once again.
वह कौन है?	Who's that?
मैं आऊंगा।	I'll attend.
अंदर आ जाओ।	Come in.
मैं भूल गई।	I forgot.
माफ़ कीजिए।	Excuse me.
अंदर आ जाओ।	Come on in.
चिल्लाओ मत!	Don't shout.
तू कैसा है?	How are you?
तू कैसी है?	How are you?
आप कैसे हो?	How are you?
यह क्या है?	What's this?
हम खुश हैं।	We are happy.
यह क्या है?	What is this?
मुझे दिखाओ।	Let me try it.
हमारा क्या?	What about us?
भगवान जाने।	Only God knows.
आराम से आओ।	Take your time.
आप कहाँ थे?	Where were you?
मैं ठीक हूँ।	I'm OK.
मैं भूल गया।	I forgot.
मैं ठीक हूँ।	I'm fine.
किसे पता है?	Who knows?
आग जलाती है।	Fire burns.
क्या नया है?	What's new?
नया क्या है?	What's new?
चिल्लाईए मत।	Don't shout.
आप कैसे हैं?	How are you?
तुम कैसे हो?	How are you?
तुम कैसी हो?	How are you?
आप कैसी हैं?	How are you?
यह किताब है।	It is a book.
कृपया जाईये।	Please leave.
जल्दी कीजिए।	Make it quick.
पढ़के सुनाओ।	Read it aloud.
यह नक्शा है।	This is a map.
उसे छूना मत।	Don't touch it.
यह किताब है।	It's this book.
यह किताब है।	This is a book.
तुम कहाँ थे?	Where were you?
पागल मत बनो।	Don't be absurd.
कोई है क्या?	Is anybody here?
शोर मत मचाओ।	Don't make noise.
हाथ ऊपर करो!	Put your hands up!
वह गाने लगी।	She began to sing.
फिर मिलेंगे।	I'll see you later.
कौआ उड़ गया।	The crow flew away.
जल्दी कीजिए।	Please do it quickly.
निराश मत हो।	Don't be disappointed.
गेंद फेंकिए।	Please throw the ball.
टॉम रो पड़ा।	Tom couldn't help but cry.
ऐसा मत बोलो।	Don't say things like that.
घटना कब हुई?	When did the accident happen?
समझे कि नहीं?	Got it?
मुझे जवाब दो।	Answer me.
किसको पता है?	Who knows?
वह ताकतवर है।	He's strong.
कोई नहीं आया।	Nobody came.
हमारे साथ आओ।	Come with us.
यह मुफ़्त है।	It's for free.
दरवाज़ा खोलो।	Open the door.
वह नीचे झुकी।	She bent down.
अपने पैर धोओ।	Wash your feet.
आ सको तो आना।	Come if you can.
तुम इनसान हो।	You're a person.
मूँह मत बनाओ।	Don't make faces.
मेरे साथ आईए।	Please follow me.
वह जाचुका है।	He's already left.
हमारे साथ आओ।	Come along with us.
बिजली चली गई।	The power went out.
पेड़ हरे हैं।	The trees are green.
वे ज़ू गए थे।	They went to the zoo.
यह भी सेव है।	This is an apple, too.
यहां, बैठिये।	Here, please have a seat.
हादसा कब हुआ?	When did the accident happen?
बाहर निकल जाओ!	Get out!
ख़ुदा हाफ़िज़।	Goodbye!
ठंड हो रही है।	It's cold.
किसे मालूम है?	Who knows?
पंछी गाते हैं।	Birds sing.
उसका पीछा करो।	Follow him.
मैं आ रहा हूँ।	I'm coming.
उसे अंदर भेजो।	Let him in.
मैं घर पर हूँ।	I am at home.
मुझे नहीं पता।	I don't know.
मैं समझता हूँ।	I understand.
थक गए हो क्या?	Are you tired?
हार मत मान लो।	Don't give in.
पीकर खतम करदो।	Drink it down.
फूल खिलते हैं।	Flowers bloom.
मुझे देखने दो।	Let me try it.
दरवाज़ा खोलिए।	Open the door.
वह अभिनेता है।	He is an actor.
जल्दी घर आजाओ।	Come home early.
आलूओं को काटो।	Cut the potatoes.
मुझे याद नहीं।	I can't remember.
क्या कहानी है?	What's the story?
किसकी बारी है?	Whose turn is it?
वह ज़रूर आएगा।	He is sure to come.
वो मजेदार था I	It was sort of fun.
बहुत महंगा है!	It's too expensive!
बहुत महंगी है!	It's too expensive!
बच्चे कहाँ गए?	Where are the kids?
मैं समझा नहीं।	I do not understand.
आसमान साफ़ है।	The skies are clear.
इसमें क्या है?	What does it contain?
तुम समझे नहीं।	You didn't understand.
टिकट भूलना मत।	Don't forget the ticket.
आपका स्वागत है।	Welcome.
मैं पैसे दूंगा।	I'll pay.
पंछी उड़ते हैं।	Birds fly.
मैं थक गया हूँ।	I'm tired.
मैं थक गया हूँ।	I am tired.
वह खड़ा हो गया।	He stood up.
एसटर मुबारक हो!	Happy Easter!
मैं डॉक्टर हूँ।	I'm a doctor.
