वह डॉक्टर नहीं है।	She's not a doctor.
वह शादीशुदा नहीं है।	She isn't married.
वह बाघ नहीं है।	That is not a tiger.
वह फ़्रानसीसी है।	He is French.
वह ताकतवर है।	He's strong.
वह अभिनेता है।	He is an actor.
वह जाचुका है।	He's already left.
वह बहुत सुंदर है।	She is very pretty.
वह बहुत पैसेवाला है।	He has a lot of money.
वह बहुत बोलती है।	She talks a lot.
स्टेशन पास में है।	The station is nearby.
वह तुम्हें समझता नहीं है।	He doesn't understand you.
वह मेरे पड़ोसियों में से एक है।	He is one of my neighbors.
मेरी ग़लती नहीं है।	It's not my fault.
दरअसल मुझे वह पसंद नहीं है।	As a matter of fact, I dislike him.
यह किताब है।	This is a book.
वह मेरी गलती है।	That's my fault.
मुझे अंग्रेज़ी में दिलचस्पी है।	I am interested in English.
आसपास कोई नहीं है।	No one's in sight.
वह तो हसीना है।	She is a beauty.
मुझे इतिहास में दिलचस्पी है।	I'm interested in history.
वह उसकी ख़ासियत है।	That's his specialty.
यह मुफ़्त है।	It's for free.
यह नक्शा है।	This is a map.
वह अच्छा इनसान है।	He's a good person.
वह उसका दोस्त है।	He is her friend.
मेरे कमरे में टीवी नहीं है।	There is no TV in my room.
वह ईमानदार लगता है।	It appears that he is honest.
वह मेरे पड़ोस में रहता है।	He lives next to me.
वह साधा आदमी है।	He is a simple man.
वह तुमसे नाराज़ है।	He is angry with you.
वह मेरे लिए मुश्किल है।	It is difficult for me.
वह सुंदर लिखता है।	He writes beautifully.
वह अरबी बोलता है।	He speaks Arabic.
वह बैंक में काम करता है।	He works at a bank.
वह नौकरानी रखता है।	He employs a maid.
वह पाँच साल की है।	She is five years old.
यह तो ठीक नहीं है।	That isn't fair.
मुझे मछली से एलर्जी है।	I'm allergic to fish.
मुझे अभी जाना है।	I have to go now.
यह तुम्हारे लिए है।	This is for you.
वह तेल में पकाया गया है।	That was cooked in oil.
यह एक किताब है।	This is a book.
मुझे यह जैकेट पसंद नहीं है।	I don't like this jacket.
कुत्ता मेरा है।	The dog is mine.
इस घर में भूत है।	The house is haunted.
वह तेल में पका हुआ है।	That was cooked in oil.
मुझे लगता है वह सही है।	I think that he is right.
शब्दकोष पास में ही है।	The dictionary is close at hand.
मुझे इतिहास पसंद है।	I like history.
वह मेरा ममेरा भाई नहीं है।	He isn't my cousin.
वह मेरा चचेरा भाई नहीं है।	He isn't my cousin.
मुझे गणित पसंद है।	I like math.
मुझे बच्चे को सुलाना है।	I have to put the baby to bed.
मैं भारत से नहीं हूँ।	I am not from India.
मुझे तुमसे प्यार है।	I love you.
यह मुफ़्त का है।	It is free of charge.
मुझे बैंक जाना है।	I have to go to the bank.
वह फ़्लैट में अकेले रहती है।	She lives in an apartment alone.
मुझे तैरना आता है।	I can swim.
वह नतीजे के लिए बेचैन है।	He is anxious about the result.
इस कमरे में मेज़ है।	There is a desk in this room.
वह कैनटीन में लन्च खाता है।	He eats lunch at a cafeteria.
वह बहुत बक-बक करती है।	She prattles on and on.
मेरी को राजनीति में दिलचस्पी है।	Mary is interested in politics.
मुझे भूख लगी है।	I am hungry.
वह बहुत पैसेवाली औरत है।	She is a wealthy woman.
यह चाकू तेज़ नहीं है।	The knife is not sharp.
गाड़ी तैयार है।	The car is ready.
वह एक ज़िद्दी लड़की है।	She is an obstinate girl.
वह ग़लती करने से डरता है।	He is afraid of making mistakes.
मैंने उसे हाल में नहीं देखा है।	I haven't seen him lately.
वह दिखने में बहुत अमीर लगता है।	He seems to be rich.
मुझे सिरदर्द हो रहा है।	I have a headache.
तुम्हारी चाल है।	It's your move.
मुझे प्रतीक्षा करने में कोई आपत्ती नहीं है।	I don't mind waiting.
मैं मुश्किल में हूँ।	I have a problem.
मैंने टॉम को हाल में नहीं देखा है।	I haven't seen Tom lately.
घर में सब-कुछ ठीक है।	Everything is all right at home.
मुझे वह अच्छा सा लगता है।	I sort of like him.
आसमान साफ़ है।	The skies are clear.
मुझे दिल की बीमारी है।	I have a heart condition.
वह किसी भी चीज़ से नहीं डरती है।	She is not afraid of anything.
वह क्लास में हमेशा देर से आता है।	He's always late for class.
वह भारत गया हुआ है।	He has been to India.
वह अब चल रहा है।	He is walking now.
शुरू हो रहा है।	It's starting now.
मुझे ज़ुकाम हो गया है।	I have caught a cold.
मुझे अम्रीकी साहित्य में दिलचस्पी है।	I am interested in American literature.
मुझे पेट में दर्द हो रहा है।	I have a stomachache.
वह वहाँ उस घर में रहता है।	He lives in that house over there.
वह सूप को सूँघ रहा है।	He is smelling the soup.
आपका स्वागत है।	Welcome.
आग जलाती है।	Fire burns.
यह मेरे दोस्त के लिए है।	It's for a friend of mine.
यह भी सेव है।	This is an apple, too.
वह संगीत का बहुत शौकीन है।	He is very fond of music.
वह दूर से हसीना लगती है।	She's a beauty from a distance.
यह मेरी पत्नी है।	Let me introduce my wife.
मुझे ठीक से नहीं पता वह क्या करने वाली है।	I do not know for certain what she is going to do.
मुझे यह वाला पसंद है।	I like this one.
मुझे जोखिम लेना पसंद नहीं है।	I hate taking risks.
जाँच-पड़ताल जारी है।	The investigation is under way.
वह लम्बा और ताकतवर है।	He is tall and strong.
मुझे मूर्ख बनना पसंद नहीं है।	I don't like being made a fool of.
पृथ्वी घूमती है।	The earth rotates.
मुझे बहुत भूख लगी है।	I'm really hungry.
वह अपने बालों को जूड़े में बाँधती है।	She wears her hair in a bun.
वादी में से एक नदी बहती है।	A river runs down through the valley.
जापान में आपका स्वागत है।	Welcome to Japan.
मुझे बहुत प्यास लगी है।	I'm very thirsty.
जॉन न्यूयॉर्क में रहता है।	John lives in New York.
मैंने उसे महीनों से नहीं देखा है।	I have not seen him in months.
बहुत ज़्यादा बड़ा है।	It's too big.
मुझे इस पहाड़ के बारे में जानना है।	I want to know about this mountain.
यह मेरा कुत्ता है।	This is my dog.
यहाँ बहुत गरम है।	It's very hot here.
मेरे पास ज़्यादा समय नहीं है।	I do not have much time.
मैं विद्यार्थी नहीं हूँ।	I'm not a student.
मेज़ पर किताब है।	There is a book on the desk.
फ़्रान्स पश्चिमी यूरोप में है।	France is in western Europe.
मुझे वह किताब लौटाने में जल्द-बाज़ी करने की ज़रूरत नहीं है।	There is no hurry about returning the book to me.
मुझे गर्मी का मौसम पसंद नहीं है।	I don't like summer.
मैं वैसा नहीं हूँ।	I'm not like that.
मुझे इस समस्या के बारे में कुछ नहीं कहना है।	I have nothing to say with regard to that problem.
दुकान आज खुली नहीं है।	The store is not open today.
वह अभी तक यहाँ नहीं आई है।	She has not come here yet.
अंग्रेज़ी बोलना आसान नहीं है।	Speaking English isn't easy.
यह मेरा बस्ता है।	This is my bag.
यह मेरा पति है।	He's my husband.
वह आज भी एक रहस्य है।	The mystery still remains unsolved.
मुझे पता है कि वह चीज़ क्या है।	I know what that is.
मुझे नहीं पता कि टॉम को क्या पता है।	I don't know what Tom knows.
ठंड हो रही है।	It's cold.
आज एक अप्रैल है।	It's April first.
वह अरबी पढ़ सकता है।	He reads Arabic.
यह मेरी का कुत्ता है।	This is Mary's dog.
वह टेनिस अच्छा खेलता है।	He is good at playing tennis.
मैंने उसे बहुत दिनों से नहीं देखा है।	I haven't seen him for a long time.
वह बहुत सारे लोगों को जानता है।	He knows a lot of people.
वह दिखने में घोड़े की तरह लगता है।	He looks like a horse.
मुझे नहीं पता।	I don't know.
वह अच्छा कमा लेता है।	He earns a good salary.
मुझे उसका पता पता है।	I know his address.
मुझे नहीं मालूम।	I don't know.
हाँ, मुझे यह बहुत पसंद है।	Yes, I like it very much.
वह सफ़र की तैयारी में लगी हुई है।	She is busy preparing for the trip.
जापान में रहना बहुत महंगा है।	It is expensive to live in Japan.
मुझे दंत चिकित्सक से मिलना है।	I have to see a dentist.
वह मेरे आस-पड़ोस में नहीं रहता।	He doesn't live in my neighborhood.
वह डब्बा इस वाले से बड़ा है।	That box is bigger than this one.
यह तुम्हारा कुत्ता है।	This is your dog.
वह सेव सड़ने लगा है।	The apple has begun to decay.
वह तुम्हारे सर के लिए बहुत छोटा है।	That's too small to fit on your head.
मेरा जन्मदिन आज से एक महीने में है।	My birthday is one month from today.
वह अक्सर गिटार बजाता है।	He often plays the guitar.
वह कैंसर से नहीं मरा।	He did not die of cancer.
यह तुम्हारी सेहत के लिए अच्छा नहीं है।	It's not healthy for you.
वह काम खतम कर चुकी है।	She has already finished the work.
समय तेज़ी से बीतता है।	Time goes by quickly.
मुझे नहीं पता कि उन्हें क्या पता है।	I don't know what they know.
यह मेरा है और वह तुम्हारा है।	This is mine, and that's yours.
वह भौतिक विज्ञान समझता है।	He understands physics.
वह सबका मज़ाक उड़ाता है।	He makes fun of everybody.
मेरे पास एक गाड़ी है।	I have a car.
वह पियानो बजाना जानती है।	She can play the piano.
वह नर्म दिल वाली है।	She has a gentle heart.
वह एक बार में घंटो के लिए लिख सकता है।	He will write for hours at a time.
यह लगभग सही है।	That is almost correct.
मुझे अपना काम बहुत पसंद है।	I like my job very much.
यह आपकी चाबी है।	This is your key.
मैंने उसे तबसे नहीं देखा है।	I have not seen him since then.
वह बहुत थका-हारा सा लगता है।	He looks very tired.
मेरे सिर में दर्द हो रहा है।	I have a headache.
इससे मेरे कोई लेना-देना नहीं है।	It's no concern of mine.
वह टेनिस बहुत अच्छा खेलती है।	She plays tennis very well.
वह भारत के किसी गाँव में रह रही है।	She is living in some village in India.
कनाडा जापान से बड़ा है।	Canada is larger than Japan.
मुझे केक अच्छा लगता है।	I like cake.
मेरे पापा का घर है।	This is my father's house.
उससे बहस करने में कोई फ़ायदा नहीं है।	It's no use arguing with him.
हाँ। यह सही है।	Yes. That's right.
वह गरीब है, पर खुश है।	She is poor, but happy.
वह कल पार्टी में नहीं आया।	He did not show up at the party last night.
मेरे पास एक कुत्ता है।	I have a dog.
मुझे उल्टी आ रही है।	I feel like throwing up.
मेरी गाड़ी चल नहीं रही है।	My car is not running.
इस लड़के के जेब में एक सेव है।	The boy has an apple in his pocket.
जो अखबार में लिखा है वह सच है।	What the newspapers say is true.
वह बुखार के साथ बिस्तर में लेटी हुई है।	She is in bed with a fever.
मैंने अभी तक नहीं खाया है।	I haven't eaten yet.
वह थोड़ी देर में वापस आ रहा है।	He will soon come back.
कल मेरा जन्मदिन है।	Tomorrow is my birthday.
मैं उसे नहीं जानता।	I don't know him.
मुझे बाहर जाने से घर में रहना पसंद है।	I would rather stay at home than go out.
उसके पास दाढ़ी है।	He has a beard.
वह ज़रूरत से ज़्यादा पैसे कमाता है।	He earns more money than he can spend.
मेरी उससे मुलाकात नहीं हुई है।	I haven't met him.
यह किताब बहुत पतली है।	This book is very thin.
वह अंग्रेज़ी नागरिक है पर भारत में रहता है।	He is a British citizen, but lives in India.
मुझे इस विषय पर कुछ नहीं कहना है।	I have nothing to say with regard to that problem.
अभी से रात हो गई है।	It is already dark.
वह एक बहुत ही खूबसूरत औरत है।	She is a woman of great beauty.
मुझे गाड़ी चलाना आता है।	I know how to drive a car.
मुझसे पैसे माँगने में कोई फ़ायदा नहीं है।	It is no use asking me for money.
वह आमतौर पर घर देर से आता है।	He usually comes home late.
चीज़ दूध से बनता है।	Cheese is made from milk.
वह टेस्ट के नतीजे को जानने के लिए बेचैन है।	He is anxious to know the result of the test.
वह हमको अच्छी तरह से जानता है।	He knows us very well.
मुझे शहर की ज़िन्दगी पसंद है।	I really like city life.
मुझे इस तरह का सोफ़ा नहीं खरीदना है।	I don't want to buy this kind of sofa.
मुझे बुखार जैसा लगता है।	I seem to have a fever.
वह आसानी से मान जाने वाला आदमी नहीं है।	He is not the sort of guy who gives in easily.
मेरी गाड़ी टोयोटा है।	My car is a Toyota.
जापान में स्कूल अप्रैल में शुरू होता है।	In Japan a new school year starts in April.
वह मुझे उसकी माँ की याद दिलाती है।	She reminds me very much of her mother.
इस कीमत में टैक्स शामिल है।	This amount includes tax.
वह अपने कर्मचारियों के साथ अच्छे से निभता है।	He is getting along with his employees.
मुझे अपनी एक अटैची मिल नहीं रही है।	One of my bags is missing.
वह अफ़वाह पूरी तरह से बेबुनयाद है।	That's a completely unfounded rumor.
मेरा भाई टोक्यो में रहता है।	My brother lives in Tokyo.
मुझे पियानो बजाना पसंद है।	I like playing the piano.
यह नदी बहुत सुन्दर है।	This river is beautiful.
अब मेरी बारी है।	It's now my turn.
यह समस्या बहुत कठिन है।	It is a difficult problem.
उसे पैसों की ज़रूरत है।	He needs money.
यह कुरसी बहुत छोटी है।	This chair is too small.
मुझे यह कुत्ता अच्छा लगता है।	I like the dog.
